gender,parental_education_level,extracurricular_participation,part_time_job,diet_quality,exercise_frequency_group,attendance_percentage_group,study_hours_per_day_group,sleep_hours_group,count_of_students,avg_exam_score,avg_exercise_frequency,avg_attendance_percentage,avg_study_hours,avg_sleep_hours
Female,Master,Yes,No,Fair,"> 4",76-86,0-2,5-8,1,56.2,6.00,85,0,8
Female,"High School",No,No,Good,"> 4","> 86","> 6",0-5,1,100,6.00,97.3,6.9,4.6
Male,"High School",No,No,Poor,0-2,"> 86",0-2,5-8,1,34.3,1.00,94.8,1.4,8
Female,Master,Yes,No,Poor,2-4,66-76,0-2,"> 8",1,26.8,4.00,71,1,9.2
Female,Master,No,No,Fair,2-4,"> 86",4-6,0-5,1,66.4,3.00,90.9,5,4.9
Male,Master,No,No,Fair,0-2,76-86,"> 6",5-8,2,98.3,1.00,83.8,6.9,7.65
Female,Master,No,Yes,Good,0-2,76-86,4-6,5-8,2,81.7,1.50,82.85,5.15,6.6
Female,Bachelor,No,Yes,Fair,0-2,76-86,4-6,0-5,1,72.6,0.00,77.7,4.3,4.6
Female,Bachelor,No,No,Good,2-4,"> 86",4-6,5-8,2,89.45,3.50,98.45,5.15,6.25
Female,Bachelor,Yes,No,Good,"> 4","> 86",4-6,5-8,1,100,5.00,95.4,4.8,7.5
Female,None,No,No,Fair,0-2,76-86,4-6,5-8,1,63.3,1.00,77.6,4.6,5.8
Male,Bachelor,No,No,Fair,0-2,66-76,2-4,5-8,3,70.03,1.67,70.57,3.67,7.5
Female,Bachelor,No,Yes,Fair,0-2,76-86,2-4,0-5,1,76.9,1.00,81.1,3.7,4.5
Female,Bachelor,No,No,Fair,2-4,"> 86",2-4,0-5,1,75.8,4.00,89.3,3.4,4.7
Male,Bachelor,No,No,Poor,"> 4","> 86",2-4,5-8,2,76.15,6.00,93.7,3.15,6.4
Male,"High School",No,No,Good,"> 4","> 86",2-4,5-8,1,74,6.00,97.5,3.1,6.5
Male,"High School",Yes,No,Poor,2-4,"> 86",0-2,5-8,1,55.2,3.00,92.9,1,5.6
Female,"High School",Yes,No,Poor,0-2,"> 86",2-4,5-8,3,69.1,0.00,90.13,3.2,7.17
